Sweep - Function 2 ,
Phase vs Frequency,
X (Hz),Ch-1 
10,-5.922065735
10.23531022,-5.479133606
10.47615753,-4.975036621
10.72267222,-4.629486084
10.97498765,-3.466003418
11.23324033,-4.300806999
11.49756995,-3.848480225
11.76811952,-4.939279556
12.0450354,-4.347915649
12.32846739,-4.708938599
12.61856883,-3.968826294
12.91549665,-3.92175293
13.21941148,-5.361572266
13.53047775,-4.317810059
13.84886371,-4.65826416
14.17474163,-4.121482849
14.50828778,-4.655059814
14.84968262,-4.880031586
15.19911083,-4.161735535
15.55676144,-4.64458847
15.92282793,-5.219390869
16.29750835,-4.535186768
16.68100537,-4.728862762
17.07352647,-5.084541321
17.475284,-5.04598999
17.88649529,-5.36026001
18.3073828,-5.481918335
18.73817423,-5.833488464
19.17910262,-6.882827759
19.6304065,-6.424131393
20.09233003,-6.941493988
20.56512308,-7.237251282
21.04904145,-7.550933838
21.5443469,-9.014831543
22.0513074,-9.091963768
22.5701972,-13.11426544
23.101297,-15.6940918
23.64489413,-16.38574028
24.20128265,-24.40128326
24.77076356,-24.51070976
25.35364494,-31.28523636
25.95024211,-34.70883179
26.56087783,-39.52470016
27.18588243,-43.3329277
27.82559402,-46.594841
28.48035868,-49.69797516
29.15053063,-52.57608414
29.8364724,-55.10843658
30.53855509,-57.10171509
31.2571585,-58.82991028
31.99267138,-60.10544586
32.74549163,-61.59181213
33.51602651,-61.53634644
34.30469286,-61.06316376
35.11191734,-60.44723511
35.93813664,-58.61288452
36.78379772,-55.91153336
37.64935807,-104.1153488
38.53528594,-110.9342041
39.44206059,-5.995300293
40.37017259,-115.0125427
41.320124,87.4230423
42.29242874,-113.8952408
43.28761281,4.643417358
44.30621458,86.52889252
45.34878508,133.2715759
46.41588834,159.2024231
47.50810162,-20.93221664
48.6260158,17.66256332
49.77023564,18.4575882
50.94138015,18.79534149
52.14008288,18.85922241
53.36699231,18.57493591
54.62277218,18.19695091
55.90810183,17.76009369
57.22367659,17.46612358
58.57020818,17.33418274
59.94842503,16.92243576
61.35907273,16.71848488
62.80291442,16.26794815
64.28073117,15.86964035
65.79332247,15.48730469
67.34150658,15.05386353
68.92612104,14.64175415
70.54802311,14.2039032
72.20809018,13.68229675
73.90722034,13.29257202
75.64633276,12.83073425
77.42636827,12.41335297
79.24828984,12.02241516
81.11308308,11.5848999
83.02175681,11.24580383
84.97534359,10.85326385
86.97490026,10.44696045
89.02150854,10.12443542
91.11627561,9.766872406
93.26033469,9.38936615
95.45484567,9.111831665
97.70099573,8.796157837
100,8.485298157
