Sweep - Function 2 ,
Vac vs Frequency,
X (Hz),Ch-1 (dBr)
10,-0.151150789
10.23531022,-0.134581786
10.47615753,-0.166304071
10.72267222,-0.16794566
10.97498765,-0.172188526
11.23324033,-0.157388663
11.49756995,-0.15124823
11.76811952,-0.181645043
12.0450354,-0.158484534
12.32846739,-0.138667954
12.61856883,-0.122484943
12.91549665,-0.145344252
13.21941148,-0.14518898
13.53047775,-0.132467682
13.84886371,-0.173632144
14.17474163,-0.14291864
14.50828778,-0.19615966
14.84968262,-0.184515043
15.19911083,-0.155175731
15.55676144,-0.156799406
15.92282793,-0.170456397
16.29750835,-0.194096151
16.68100537,-0.174899599
17.07352647,-0.177729332
17.475284,-0.227629283
17.88649529,-0.20946141
18.3073828,-0.196699175
18.73817423,-0.214356471
19.17910262,-0.225025474
19.6304065,-0.244919959
20.09233003,-0.246486479
20.56512308,-0.285217364
21.04904145,-0.280971866
21.5443469,-0.363537378
22.0513074,-0.339849736
22.5701972,-0.358222562
23.101297,-0.447531791
23.64489413,-0.631919825
24.20128265,-0.867589267
24.77076356,-1.119985899
25.35364494,-1.442533186
25.95024211,-1.771550624
26.56087783,-2.025910853
27.18588243,-2.499442828
27.82559402,-3.079049695
28.48035868,-3.459968994
29.15053063,-3.823248405
29.8364724,-4.425767376
30.53855509,-4.832841922
31.2571585,-5.293453241
31.99267138,-5.891861613
32.74549163,-6.273769371
33.51602651,-6.740830988
34.30469286,-7.246401128
35.11191734,-7.342417497
35.93813664,-8.101993497
36.78379772,-8.31789568
37.64935807,-8.762699621
38.53528594,-8.941673435
39.44206059,-9.077645685
40.37017259,-9.192520077
41.320124,-9.117641945
42.29242874,-9.052158924
43.28761281,-8.813349452
44.30621458,-8.582888009
45.34878508,-8.381935665
46.41588834,-8.041668381
47.50810162,-7.713460052
48.6260158,-7.369000301
49.77023564,-6.990767249
50.94138015,-6.663051231
52.14008288,-6.338371503
53.36699231,-5.94562162
54.62277218,-5.706279946
55.90810183,-5.420687552
57.22367659,-5.149540268
58.57020818,-4.919030353
59.94842503,-4.643480051
61.35907273,-4.479736159
62.80291442,-4.207055712
64.28073117,-4.028622558
65.79332247,-3.856472745
67.34150658,-3.695517261
68.92612104,-3.487761728
70.54802311,-3.351745026
72.20809018,-3.192573403
73.90722034,-3.041760612
75.64633276,-2.896754395
77.42636827,-2.763052307
79.24828984,-2.642678833
81.11308308,-2.527300088
83.02175681,-2.40928251
84.97534359,-2.304745593
86.97490026,-2.174659268
89.02150854,-2.100151877
91.11627561,-1.995329807
93.26033469,-1.911275254
95.45484567,-1.815082333
97.70099573,-1.73518855
100,-1.684979821
